,clause,segment,relation
0,S,satellite,cause
1,NP,nucleus,list
2,S,satellite,condition
3,S,satellite,condition
4,S,satellite,condition
5,PP,nucleus,sequence
6,PP,satellite,cause
7,S,satellite,condition
8,S,satellite,circumstance
9,S,satellite,reason
10,S,nucleus,sequence
11,S,satellite,condition
12,S,satellite,condition
13,VP,satellite,circumstance
14,VP,satellite,reason
15,S,satellite,condition
16,S,satellite,purpose
17,S,satellite,cause
18,S,satellite,condition
19,NP,satellite,evaluation-s
20,S,satellite,elaboration
21,NP,nucleus,condition
22,S,satellite,cause
23,NP,nucleus,cause
24,S,satellite,circumstance
25,VP,satellite,elaboration
26,S,satellite,circumstance
27,S,satellite,concession
28,S,satellite,circumstance
29,S,satellite,purpose
30,NP,nucleus,e-elaboration
31,VP,satellite,purpose
32,AP,satellite,elaboration
33,S,satellite,cause
34,S,satellite,circumstance
35,S,nucleus,list
36,S,satellite,condition
37,S,satellite,evidence
38,S,nucleus,sequence
39,NP,satellite,elaboration
40,S,satellite,condition
41,S,satellite,condition
42,S,satellite,condition
43,S,satellite,condition
44,S,satellite,concession
45,S,satellite,concession
46,NP,satellite,e-elaboration
47,S,satellite,elaboration
48,S,satellite,interpretation
49,S,satellite,condition
50,S,satellite,condition
51,PP,satellite,circumstance
52,S,satellite,circumstance
53,S,satellite,concession
54,S,satellite,cause
55,NP,nucleus,list
56,S,satellite,concession
57,VP,satellite,antithesis
58,NP,nucleus,e-elaboration
59,S,satellite,list
60,VP,satellite,antithesis
61,S,satellite,elaboration
62,VP,satellite,purpose
63,S,satellite,condition
64,S,satellite,cause
65,VP,satellite,purpose
66,S,satellite,cause
67,S,satellite,evidence
68,S,satellite,condition
69,S,satellite,cause
70,S,satellite,condition
71,S,satellite,otherwise
72,S,satellite,cause
73,S,satellite,circumstance
74,S,satellite,condition
75,S,satellite,circumstance
76,S,satellite,cause
77,S,satellite,cause
78,S,nucleus,sequence
79,PP,satellite,concession
80,S,satellite,circumstance
81,AVP,satellite,evaluation-n
82,S,satellite,condition
83,CS,satellite,conjunction
84,VP,satellite,purpose
85,S,satellite,antithesis
86,CS,satellite,circumstance
87,S,satellite,condition
88,PP,satellite,concession
89,S,satellite,preparation
90,S,nucleus,elaboration
91,S,satellite,condition
92,VP,satellite,circumstance
93,S,nucleus,circumstance
94,S,satellite,condition
95,VP,satellite,purpose
96,S,satellite,condition
97,S,nucleus,contrast
98,PP,satellite,e-elaboration
99,S,satellite,cause
100,NP,satellite,evaluation-s
101,S,satellite,disjunction
102,S,span,condition
103,S,satellite,condition
104,S,satellite,cause
105,S,satellite,condition
106,S,satellite,antithesis
107,S,satellite,circumstance
108,S,satellite,condition
109,VP,satellite,purpose
110,S,nucleus,condition
111,S,satellite,circumstance
112,S,satellite,circumstance
113,PP,satellite,elaboration
114,S,satellite,condition
115,NP,satellite,reason
116,S,satellite,condition
117,S,satellite,condition
118,S,satellite,evaluation-s
119,S,satellite,condition
120,S,span,concession
121,NP,satellite,reason
122,S,satellite,condition
123,S,satellite,condition
124,S,satellite,conjunction
125,S,satellite,condition
126,S,satellite,cause
127,S,satellite,purpose
128,S,satellite,condition
129,S,satellite,condition
130,S,satellite,condition
131,VP,satellite,purpose
132,CS,satellite,concession
133,PP,satellite,preparation
134,S,satellite,evidence
135,NP,nucleus,antithesis
136,S,satellite,antithesis
137,S,nucleus,elaboration
138,S,satellite,condition
139,S,satellite,condition
140,VP,satellite,purpose
141,S,satellite,condition
142,S,span,cause
143,S,satellite,condition
144,S,satellite,condition
145,S,satellite,condition
146,S,satellite,concession
147,S,satellite,reason
148,S,span,antithesis
149,VP,satellite,purpose
150,S,satellite,circumstance
151,S,satellite,circumstance
152,S,satellite,antithesis
153,S,satellite,antithesis
154,S,satellite,condition
155,CS,satellite,circumstance
156,S,satellite,conjunction
157,CO,satellite,purpose
158,AVP,satellite,conjunction
159,VP,satellite,purpose
160,S,satellite,list
161,S,satellite,condition
162,S,satellite,purpose
163,S,satellite,condition
164,S,satellite,condition
165,S,satellite,condition
166,S,satellite,condition
167,S,satellite,circumstance
168,S,satellite,condition
169,CVP,satellite,purpose
170,S,satellite,reason
171,S,nucleus,contrast
172,S,satellite,reason
173,S,satellite,condition
174,S,satellite,condition
175,NP,satellite,concession
176,S,satellite,circumstance
177,S,satellite,elaboration
178,S,satellite,condition
179,S,nucleus,elaboration
180,S,nucleus,e-elaboration
181,NP,nucleus,e-elaboration
182,S,span,antithesis
183,S,satellite,condition
184,CNP,nucleus,list
185,S,satellite,condition
186,S,nucleus,concession
187,NP,satellite,list
188,S,satellite,condition
189,S,satellite,condition
190,S,span,condition
191,S,satellite,condition
192,PP,satellite,cause
193,S,satellite,condition
194,S,nucleus,contrast
195,S,satellite,cause
196,S,satellite,condition
197,S,satellite,reason
